time,open,high,low,close,tick_volume,spread,real_volume
2023-01-02 04:00:00,1.07016,1.07017,1.06909,1.06967,340,1,0
2023-01-02 08:00:00,1.06971,1.07005,1.06636,1.06784,5790,0,0
2023-01-02 12:00:00,1.06788,1.06898,1.06749,1.06788,3224,0,0
2023-01-02 16:00:00,1.06787,1.06819,1.0651,1.06607,5026,0,0
2023-01-02 20:00:00,1.06604,1.06727,1.06499,1.06665,2361,0,0
2023-01-03 00:00:00,1.06642,1.0683,1.06493,1.06597,10675,0,0
2023-01-03 04:00:00,1.06596,1.06802,1.06575,1.06637,12043,0,0
2023-01-03 08:00:00,1.06637,1.06677,1.05339,1.05476,34129,0,0
2023-01-03 12:00:00,1.05479,1.057,1.05196,1.05604,28042,0,0
2023-01-03 16:00:00,1.05604,1.05974,1.05372,1.05461,37222,0,0
2023-01-03 20:00:00,1.05463,1.05689,1.05433,1.0547,17090,0,0
2023-01-04 00:00:00,1.05465,1.05691,1.05402,1.05667,12432,0,0
2023-01-04 04:00:00,1.05667,1.0578400000000001,1.05612,1.05693,8863,0,0
2023-01-04 08:00:00,1.05693,1.06354,1.05594,1.06109,30127,0,0
2023-01-04 12:00:00,1.06109,1.06244,1.05949,1.06105,24248,0,0
2023-01-04 16:00:00,1.06106,1.06286,1.05812,1.06074,40632,0,0
2023-01-04 20:00:00,1.06074,1.06129,1.05851,1.0603,24349,0,0
2023-01-05 00:00:00,1.06015,1.06315,1.05973,1.06204,9561,0,0
2023-01-05 04:00:00,1.06202,1.06202,1.06017,1.06106,10443,0,0
2023-01-05 08:00:00,1.06107,1.06291,1.05902,1.06235,22575,0,0
2023-01-05 12:00:00,1.06238,1.0626,1.05514,1.05524,26874,0,0
2023-01-05 16:00:00,1.05524,1.05675,1.0515,1.05299,38802,0,0
2023-01-05 20:00:00,1.05299,1.05433,1.05152,1.05207,17968,0,0
2023-01-06 00:00:00,1.05205,1.05326,1.05178,1.0525,8372,0,0
2023-01-06 04:00:00,1.05251,1.05362,1.05106,1.05143,8577,0,0
2023-01-06 08:00:00,1.05148,1.0531,1.04968,1.05075,21228,0,0
2023-01-06 12:00:00,1.05075,1.0545,1.04832,1.05426,28211,0,0
2023-01-06 16:00:00,1.05426,1.06382,1.05011,1.0637699999999999,45357,0,0
2023-01-06 20:00:00,1.06378,1.06481,1.06295,1.06427,14269,0,0
2023-01-09 00:00:00,1.06394,1.06719,1.0636,1.06667,9379,0,0
2023-01-09 04:00:00,1.06667,1.06831,1.06659,1.06772,10022,0,0
2023-01-09 08:00:00,1.06772,1.06997,1.06599,1.06724,24194,0,0
2023-01-09 12:00:00,1.06727,1.07319,1.06614,1.07252,23124,0,0
2023-01-09 16:00:00,1.07253,1.07607,1.07115,1.07503,31095,0,0
2023-01-09 20:00:00,1.07503,1.07542,1.07301,1.07318,17472,0,0
2023-01-10 00:00:00,1.07293,1.07397,1.07204,1.07362,10145,1,0
2023-01-10 04:00:00,1.07362,1.07441,1.07212,1.07427,9486,0,0
2023-01-10 08:00:00,1.0743,1.07518,1.07222,1.07461,20909,0,0
2023-01-10 12:00:00,1.07461,1.07461,1.07121,1.07217,19561,0,0
2023-01-10 16:00:00,1.07219,1.07593,1.07216,1.07334,38630,0,0
2023-01-10 20:00:00,1.07334,1.07441,1.07275,1.07334,13128,0,0
2023-01-11 00:00:00,1.07329,1.07451,1.07252,1.0731,8248,0,0
2023-01-11 04:00:00,1.07308,1.07568,1.07263,1.07478,5942,0,0
2023-01-11 08:00:00,1.0748,1.07575,1.0725500000000001,1.07417,18590,0,0
2023-01-11 12:00:00,1.07417,1.07555,1.07282,1.0749900000000001,18496,0,0
2023-01-11 16:00:00,1.0749900000000001,1.07765,1.07364,1.07468,25841,0,0
2023-01-11 20:00:00,1.07467,1.07671,1.0735,1.07556,13096,0,0
2023-01-12 00:00:00,1.07535,1.07746,1.0749,1.07667,10033,1,0
2023-01-12 04:00:00,1.07667,1.07752,1.07615,1.07628,6894,0,0
2023-01-12 08:00:00,1.07628,1.07735,1.07427,1.0765500000000001,18493,0,0
2023-01-12 12:00:00,1.07654,1.08386,1.07302,1.08291,30151,0,0
2023-01-12 16:00:00,1.08291,1.0849,1.07515,1.08487,54600,0,0
2023-01-12 20:00:00,1.08487,1.0867,1.08397,1.08515,21067,0,0
2023-01-13 00:00:00,1.08497,1.08678,1.08385,1.08554,10534,0,0
2023-01-13 04:00:00,1.08555,1.08563,1.08314,1.08372,9297,0,0
2023-01-13 08:00:00,1.08372,1.08645,1.08332,1.08426,24708,0,0
2023-01-13 12:00:00,1.08425,1.08518,1.07926,1.07937,25216,0,0
2023-01-13 16:00:00,1.07938,1.08388,1.07805,1.08283,32997,0,0
2023-01-13 20:00:00,1.08283,1.08358,1.08182,1.08323,11101,0,0
2023-01-16 00:00:00,1.08295,1.0872,1.08193,1.0868,9510,0,0
2023-01-16 04:00:00,1.0868,1.08742,1.08508,1.08605,7895,0,0
2023-01-16 08:00:00,1.08603,1.08606,1.08016,1.0821,19483,0,0
2023-01-16 12:00:00,1.0821,1.08367,1.0806,1.08159,14923,0,0
2023-01-16 16:00:00,1.08159,1.08293,1.08118,1.08139,11879,0,0
2023-01-16 20:00:00,1.08138,1.08247,1.08109,1.0821,2081,0,0
2023-01-17 00:00:00,1.08197,1.08337,1.08141,1.08171,8939,0,0
2023-01-17 04:00:00,1.08169,1.08327,1.0806,1.08311,7849,0,0
2023-01-17 08:00:00,1.0831,1.08388,1.0811,1.08172,20945,0,0
2023-01-17 12:00:00,1.08174,1.08581,1.08088,1.08426,26546,0,0
2023-01-17 16:00:00,1.08427,1.08694,1.07745,1.07822,36087,0,0
2023-01-17 20:00:00,1.07822,1.08038,1.07799,1.07876,13640,0,0
2023-01-18 00:00:00,1.07879,1.07963,1.07824,1.07962,7025,0,0
2023-01-18 04:00:00,1.07962,1.07993,1.07661,1.07797,21030,0,0
2023-01-18 08:00:00,1.07794,1.08715,1.07793,1.08699,31770,0,0
2023-01-18 12:00:00,1.08699,1.087,1.08114,1.08583,27996,0,0
2023-01-18 16:00:00,1.08584,1.08874,1.07874,1.07959,42672,0,0
2023-01-18 20:00:00,1.0796000000000001,1.07991,1.07868,1.07936,17294,0,0
2023-01-19 00:00:00,1.07903,1.07982,1.07825,1.07876,9721,0,0
2023-01-19 04:00:00,1.07877,1.08056,1.07822,1.07916,8764,0,0
2023-01-19 08:00:00,1.07917,1.08293,1.07825,1.08249,20594,0,0
2023-01-19 12:00:00,1.0825,1.08382,1.07955,1.08096,25689,0,0
2023-01-19 16:00:00,1.08095,1.08253,1.07836,1.08165,31673,0,0
2023-01-19 20:00:00,1.08164,1.08401,1.08131,1.08294,16569,0,0
2023-01-20 00:00:00,1.08291,1.08437,1.08264,1.08362,5544,0,0
2023-01-20 04:00:00,1.08363,1.0844,1.08252,1.08353,5999,0,0
2023-01-20 08:00:00,1.08354,1.08591,1.08207,1.0831,18025,0,0
2023-01-20 12:00:00,1.08311,1.08474,1.08024,1.0806499999999999,19789,0,0
2023-01-20 16:00:00,1.0806499999999999,1.08478,1.08046,1.08438,26559,0,0
2023-01-20 20:00:00,1.08437,1.08586,1.08338,1.08557,13502,0,0
2023-01-23 00:00:00,1.08622,1.08996,1.0859,1.08949,7534,0,0
2023-01-23 04:00:00,1.08949,1.0903,1.08889,1.08922,6657,0,0
2023-01-23 08:00:00,1.08922,1.09267,1.08874,1.09118,20633,0,0
2023-01-23 12:00:00,1.09118,1.0915300000000001,1.08532,1.08589,21733,0,0
2023-01-23 16:00:00,1.08589,1.0876,1.08464,1.08624,28007,0,0
2023-01-23 20:00:00,1.08625,1.08732,1.08478,1.08715,14715,0,0
2023-01-24 00:00:00,1.08705,1.08826,1.0867,1.08809,3975,0,0
2023-01-24 04:00:00,1.08807,1.0883,1.08694,1.08784,4013,0,0
2023-01-24 08:00:00,1.08784,1.0898,1.08519,1.08609,17860,0,0
2023-01-24 12:00:00,1.08605,1.08808,1.08522,1.0866,18034,0,0
2023-01-24 16:00:00,1.0866,1.08871,1.08352,1.08833,32235,0,0
2023-01-24 20:00:00,1.08833,1.0889,1.08741,1.08879,10575,0,0
2023-01-25 00:00:00,1.08856,1.08942,1.08791,1.0893,6457,0,0
2023-01-25 04:00:00,1.08931,1.09028,1.08919,1.08976,5287,0,0
2023-01-25 08:00:00,1.08977,1.09113,1.08676,1.08813,17073,0,0
2023-01-25 12:00:00,1.08814,1.08849,1.08574,1.08721,18894,0,0
2023-01-25 16:00:00,1.08721,1.09236,1.08685,1.08993,29111,0,0
2023-01-25 20:00:00,1.08993,1.09184,1.08993,1.09147,12376,0,0
2023-01-26 00:00:00,1.09152,1.09246,1.09071,1.09192,5336,0,0
2023-01-26 04:00:00,1.0919,1.09217,1.09089,1.09188,5236,0,0
2023-01-26 08:00:00,1.09185,1.09294,1.08926,1.08957,16755,0,0
2023-01-26 12:00:00,1.08957,1.09085,1.08729,1.09027,18506,0,0
2023-01-26 16:00:00,1.09028,1.09177,1.08506,1.08647,29776,0,0
2023-01-26 20:00:00,1.08644,1.08946,1.08637,1.08917,8775,0,0
2023-01-27 00:00:00,1.0890900000000001,1.09003,1.08849,1.08895,6063,0,0
2023-01-27 04:00:00,1.08894,1.089,1.08657,1.08739,5609,0,0
2023-01-27 08:00:00,1.08738,1.08924,1.08658,1.08839,13341,0,0
2023-01-27 12:00:00,1.08839,1.08954,1.08594,1.08624,15562,0,0
2023-01-27 16:00:00,1.08624,1.08791,1.08378,1.08666,29661,0,0
2023-01-27 20:00:00,1.0866500000000001,1.08731,1.08564,1.08673,9501,0,0
2023-01-30 00:00:00,1.08618,1.08753,1.08579,1.0873599999999999,5080,0,0
2023-01-30 04:00:00,1.08737,1.08793,1.08644,1.08693,9541,0,0
2023-01-30 08:00:00,1.08693,1.09041,1.08531,1.09019,18116,0,0
2023-01-30 12:00:00,1.0902,1.09138,1.08862,1.08862,16984,0,0
2023-01-30 16:00:00,1.08864,1.08997,1.08575,1.08578,23977,0,0
2023-01-30 20:00:00,1.08578,1.08607,1.08393,1.085,11111,0,0
2023-01-31 00:00:00,1.0848,1.08601,1.08453,1.08576,6554,0,0
2023-01-31 04:00:00,1.08576,1.0859,1.08332,1.08347,5628,0,0
2023-01-31 08:00:00,1.08349,1.08498,1.08017,1.08296,18550,0,0
2023-01-31 12:00:00,1.08295,1.08634,1.08203,1.08512,21118,0,0
2023-01-31 16:00:00,1.08513,1.08678,1.08336,1.08652,29052,0,0
2023-01-31 20:00:00,1.08653,1.0875,1.08599,1.0861399999999999,9932,0,0
2023-02-01 00:00:00,1.08607,1.08654,1.08571,1.08573,4410,0,0
2023-02-01 04:00:00,1.08572,1.08749,1.08523,1.08717,3786,0,0
2023-02-01 08:00:00,1.08717,1.08886,1.08658,1.08833,14754,0,0
2023-02-01 12:00:00,1.08825,1.091,1.08792,1.09042,15979,0,0
2023-02-01 16:00:00,1.09041,1.09247,1.08877,1.09079,23348,0,0
2023-02-01 20:00:00,1.0908,1.1001400000000001,1.08885,1.09886,39371,0,0
2023-02-02 00:00:00,1.0987,1.10329,1.09838,1.10134,10708,0,0
2023-02-02 04:00:00,1.10131,1.10255,1.1012,1.10202,7800,0,0
2023-02-02 08:00:00,1.10201,1.10218,1.09888,1.09987,17946,0,0
2023-02-02 12:00:00,1.09987,1.10043,1.09438,1.09452,29602,0,0
2023-02-02 16:00:00,1.09452,1.09665,1.08853,1.09084,37057,0,0
2023-02-02 20:00:00,1.09089,1.09229,1.09053,1.09099,19203,0,0
2023-02-03 00:00:00,1.09081,1.09115,1.08912,1.08937,6110,0,0
2023-02-03 04:00:00,1.08937,1.08985,1.08872,1.08937,6301,0,0
2023-02-03 08:00:00,1.08938,1.0931,1.0882,1.09301,17829,0,0
2023-02-03 12:00:00,1.09299,1.09402,1.0826500000000001,1.08399,25728,0,0
2023-02-03 16:00:00,1.08398,1.08762,1.08094,1.08247,44130,0,0
